Date,Time,Team 1,Team 2,Spread 1,Spread 2
"Tue, November 8",7:00 PM EST,Eastern Michigan,Akron,-7.5,+7.5
"Tue, November 8",7:30 PM EST,Ohio,Miami Ohio,-1.5,+1.5
"Tue, November 8",8:00 PM EST,Ball State,Toledo,+11.5,-11.5
"Wed, November 9",7:00 PM EST,Kent State,Bowling Green,-2.5,+2.5
"Wed, November 9",7:00 PM EST,Buffalo,Central Michigan,-2,+2
"Wed, November 9",7:00 PM EST,Northern Illinois,Western Michigan,-0,+0
"Thu, November 10",7:30 PM EST,Georgia Southern,Louisiana-Lafayette,+3,-3
"Thu, November 10",7:30 PM EST,Tulsa,Memphis,+6.5,-6.5
"Fri, November 11",8:00 PM EST,East Carolina,Cincinnati,+6,-6
"Fri, November 11",9:30 PM EST,Colorado,USC,+34,-34
"Fri, November 11",10:30 PM EST,Fresno State,UNLV,-10,+10
"Sat, November 12",12:00 PM EST,LSU,Arkansas,-3,+3
"Sat, November 12",12:00 PM EST,Liberty,UConn,-14.5,+14.5
"Sat, November 12",12:00 PM EST,Virginia Tech,Duke,+10.5,-10.5
"Sat, November 12",12:00 PM EST,Purdue,Illinois,+6.5,-6.5
"Sat, November 12",12:00 PM EST,Vanderbilt,Kentucky,+17,-17
"Sat, November 12",12:00 PM EST,Rutgers,Michigan State,+10,-10
"Sat, November 12",12:00 PM EST,Missouri,Tennessee,+21,-21
"Sat, November 12",12:00 PM EST,Notre Dame,Navy,-16.5,+16.5
"Sat, November 12",12:00 PM EST,Oklahoma,West Virginia,-8,+8
"Sat, November 12",12:00 PM EST,Pittsburgh,Virginia,-4,+4
"Sat, November 12",12:00 PM EST,SMU,South Florida,-17.5,+17.5
"Sat, November 12",12:00 PM EST,Indiana,Ohio State,+41.5,-41.5
"Sat, November 12",1:00 PM EST,Louisiana-Monroe,Georgia State,+13.5,-13.5
"Sat, November 12",1:00 PM EST,James Madison,Old Dominion,-8,+8
"Sat, November 12",2:00 PM EST,Rice,Western Kentucky,+13,-13
"Sat, November 12",3:00 PM EST,Umass,Arkansas State,+17,-17
"Sat, November 12",3:00 PM EST,Temple,Houston,+20,-20
"Sat, November 12",3:30 PM EST,New Mexico,Air Force,+23.5,-23.5
"Sat, November 12",3:30 PM EST,Alabama,Ole Miss,-11.5,+11.5
"Sat, November 12",3:30 PM EST,Appalachian State,Marshall,-1,+1
"Sat, November 12",3:30 PM EST,Arizona State,Washington State,+9,-9
"Sat, November 12",3:30 PM EST,Army,Troy,+9,-9
"Sat, November 12",3:30 PM EST,Boston College,NC State,+19,-19
"Sat, November 12",3:30 PM EST,Charlotte,Middle Tennessee,--,--
"Sat, November 12",3:30 PM EST,Louisville,Clemson,+7,-7
"Sat, November 12",3:30 PM EST,Miami Florida,Georgia Tech,+1.5,-1.5
"Sat, November 12",3:30 PM EST,Wisconsin,Iowa,-1,+1
"Sat, November 12",3:30 PM EST,Iowa State,Oklahoma State,-1.5,+1.5
"Sat, November 12",3:30 PM EST,Louisiana Tech,UTSA,+18,-18
"Sat, November 12",3:30 PM EST,Maryland,Penn State,+10.5,-10.5
"Sat, November 12",3:30 PM EST,Northwestern,Minnesota,+17.5,-17.5
"Sat, November 12",3:30 PM EST,North Texas,UAB,+5.5,-5.5
"Sat, November 12",3:30 PM EST,UCF,Tulane,+2,-2
"Sat, November 12",3:30 PM EST,Nebraska,Michigan,+28.5,-28.5
"Sat, November 12",4:00 PM EST,South Carolina,Florida,+8,-8
"Sat, November 12",5:00 PM EST,Texas State,South Alabama,+16.5,-16.5
"Sat, November 12",7:00 PM EST,Kansas State,Baylor,+3,-3
"Sat, November 12",7:00 PM EST,Wyoming,Colorado State,-8.5,+8.5
"Sat, November 12",7:00 PM EST,Florida Atlantic,Florida International,-15.5,+15.5
"Sat, November 12",7:00 PM EST,Georgia,Mississippi State,-16.5,+16.5
"Sat, November 12",7:00 PM EST,Kansas,Texas Tech,+3.5,-3.5
"Sat, November 12",7:00 PM EST,Washington,Oregon,+13.5,-13.5
"Sat, November 12",7:30 PM EST,Texas A&M,Auburn,+1.5,-1.5
"Sat, November 12",7:30 PM EST,Southern Mississippi,Coastal Carolina,+11,-11
"Sat, November 12",7:30 PM EST,North Carolina,Wake Forest,+3.5,-3.5
"Sat, November 12",7:30 PM EST,TCU,Texas,+7,-7
"Sat, November 12",9:00 PM EST,California,Oregon State,+13.5,-13.5
"Sat, November 12",10:00 PM EST,Stanford,Utah,+23,-23
"Sat, November 12",10:30 PM EST,Arizona,UCLA,+19.5,-19.5
"Sat, November 12",10:30 PM EST,Boise State,Nevada,-21,+21
"Sat, November 12",10:30 PM EST,San Jose State,San Diego State,-2.5,+2.5
"Sat, November 12",11:00 PM EST,Utah State,Hawaii,-11.5,+11.5
